target_category,other_category,familiarity
American alligator,great grey owl,familiar
American alligator,hippopotamus,familiar
American alligator,lynx,familiar
American alligator,water snake,familiar
analog clock,wall clock,unfamiliar
Appenzeller,EntleBucher,unfamiliar
assault rifle,rifle,unfamiliar
Australian terrier,Norwich terrier,unfamiliar
Australian terrier,Yorkshire terrier,unfamiliar
bakery,coral fungus,familiar
bakery,cowboy hat,familiar
bakery,plate,familiar
barn,cliff,familiar
barn,steel arch bridge,familiar
barn spider,garden spider,unfamiliar
barn spider,parachute,familiar
bassoon,rifle,familiar
beagle,Appenzeller,familiar
beagle,Walker hound,unfamiliar
bee eater,jacamar,unfamiliar
bee eater,kite,familiar
binoculars,buckle,familiar
binoculars,Chihuahua,familiar
binoculars,lens cap,familiar
binoculars,steel arch bridge,familiar
binoculars,yurt,familiar
black-and-tan coonhound,Rhodesian ridgeback,unfamiliar
black-and-tan coonhound,Rottweiler,unfamiliar
Border terrier,Norwich terrier,unfamiliar
Border terrier,Yorkshire terrier,unfamiliar
buckle,carpenter's kit,familiar
buckle,electric fan,familiar
buckle,hair slide,familiar
buckle,slot,familiar
buckle,wolf spider,familiar
butcher shop,restaurant,familiar
car mirror,buckle,familiar
car mirror,cowboy hat,familiar
carpenter's kit,power drill,familiar
CD player,tape player,familiar
Chihuahua,Irish terrier,familiar
Chihuahua,scale,familiar
Chihuahua,toy terrier,unfamiliar
chocolate sauce,lens cap,familiar
chocolate sauce,mixing bowl,familiar
chocolate sauce,plate,familiar
chocolate sauce,prairie chicken,familiar
cliff,American alligator,familiar
cliff,cowboy hat,familiar
cliff dwelling,cliff,familiar
cliff dwelling,rifle,familiar
coral fungus,daisy,familiar
coral fungus,hair slide,familiar
cowboy hat,African grey,familiar
cowboy hat,bakery,familiar
crash helmet,binoculars,familiar
crash helmet,buckle,familiar
crash helmet,lab coat,familiar
daisy,hair slide,familiar
desktop computer,mouse,familiar
desktop computer,restaurant,familiar
Egyptian cat,lynx,familiar
Egyptian cat,tabby,unfamiliar
electric fan,assault rifle,familiar
EntleBucher,Appenzeller,unfamiliar
European fire salamander,spotted salamander,unfamiliar
European fire salamander,tarantula,familiar
European fire salamander,water snake,familiar
flagpole,bakery,familiar
flagpole,barn,familiar
flagpole,car mirror,familiar
garden spider,barn spider,unfamiliar
gong,hair slide,familiar
great grey owl,American alligator,familiar
hair slide,buckle,familiar
hair slide,daisy,familiar
hair slide,electric fan,familiar
hair slide,gong,familiar
hair slide,tiger,familiar
hippopotamus,cliff,familiar
hippopotamus,Samoyed,familiar
Irish terrier,Border terrier,unfamiliar
Irish terrier,Norwich terrier,unfamiliar
Irish terrier,vizsla,familiar
jacamar,bee eater,unfamiliar
jacamar,hair slide,familiar
jellyfish,hair slide,familiar
jellyfish,water snake,familiar
kite,American alligator,familiar
lab coat,butcher shop,familiar
lens cap,buckle,familiar
lotion,sunscreen,unfamiliar
lotion,syringe,familiar
lynx,tabby,familiar
mixing bowl,restaurant,familiar
mouse,buckle,familiar
mouse,mixing bowl,familiar
Norwich terrier,Samoyed,familiar
parachute,hair slide,familiar
parachute,kite,familiar
picket fence,Australian terrier,familiar
picket fence,hair slide,familiar
plate,buckle,familiar
plate,chocolate sauce,familiar
plate,trifle,familiar
power drill,lotion,familiar
power drill,syringe,familiar
prairie chicken,American alligator,familiar
restaurant,bassoon,familiar
restaurant,desktop computer,familiar
restaurant,mouse,familiar
restaurant,plate,familiar
Rhodesian ridgeback,beagle,familiar
Rhodesian ridgeback,Chihuahua,familiar
Rhodesian ridgeback,Irish terrier,familiar
Rhodesian ridgeback,Rottweiler,familiar
rifle,assault rifle,unfamiliar
rifle,bakery,familiar
rifle,barn,familiar
rifle,bassoon,familiar
rifle,cliff dwelling,familiar
rifle,crash helmet,familiar
rifle,picket fence,familiar
Rottweiler,black-and-tan coonhound,unfamiliar
Samoyed,Norwich terrier,familiar
scale,bakery,familiar
scale,butcher shop,familiar
silky terrier,Australian terrier,unfamiliar
silky terrier,Yorkshire terrier,unfamiliar
slot,restaurant,familiar
slot,web site,familiar
spotted salamander,water snake,familiar
steel arch bridge,analog clock,familiar
steel arch bridge,cliff,familiar
sunscreen,binoculars,familiar
sunscreen,buckle,familiar
syringe,assault rifle,familiar
syringe,carpenter's kit,familiar
syringe,flagpole,familiar
syringe,jellyfish,familiar
syringe,teapot,familiar
tabby,Egyptian cat,unfamiliar
tabby,lynx,familiar
tape player,CD player,familiar
tape player,desktop computer,familiar
tarantula,European fire salamander,familiar
tarantula,wolf spider,unfamiliar
teapot,bassoon,familiar
thunder snake,water snake,unfamiliar
tiger,lynx,familiar
toy terrier,Chihuahua,unfamiliar
toy terrier,Walker hound,familiar
trifle,chocolate sauce,familiar
trifle,plate,familiar
vizsla,cowboy hat,familiar
vizsla,Irish terrier,familiar
vizsla,restaurant,familiar
Walker hound,EntleBucher,unfamiliar
wall clock,analog clock,unfamiliar
water snake,cliff,familiar
water snake,thunder snake,unfamiliar
web site,analog clock,familiar
web site,desktop computer,familiar
wolf spider,tarantula,unfamiliar
Yorkshire terrier,silky terrier,unfamiliar
Yorkshire terrier,toy terrier,unfamiliar
yurt,barn,familiar
